word,entity
RBA,central#aus
Reserve bank of Australia,central#aus
 aud,central#aus
aud/usd,central#aus
Bank of Canada,central#can
 cad,central#can
usd/cad,central#can
 CBC,central#china
Bank of China,central#china
 BOC,central#china
PBoC,central#china
People's bank of China,central#china
 RMB,central#china
 cny,central#china
 yuan,central#china
 cnh,central#china
usd/cny,central#china
usd/cnh,central#china
eur/usd,central#eu
 eur,central#eu
 ECB,central#eu
European central Bank,central#eu
HKMA,central#hk
HKMP,central#hk
Hong Kong Monetary Authority,central#hk
 hkd,central#hk
usd/hkd,central#hk
Bank of Japan,central#jp
usd/jpy,central#jp
 yen,central#jp
 BOJ,central#jp
 JPY,central#jp
Bank of Korea,central#kor
 BOK,central#kor
 krw,central#kor
usd/krw,central#kor
RBNZ,central#new
Reserve bank of New Zealand,central#new
 nzd,central#new
 kiwi,central#new
nzd/usd,central#new
MAS,central#singapore
MASP,central#singapore
Monetary Authority of Singapore,central#singapore
 sgd,central#singapore
usd/sgd,central#singapore
Riksbank,central#swiss
 SNB,central#swiss
Swiss National bank,central#swiss
 chf,central#swiss
usd/chf,central#swiss
Bank of England,central#uk
 BOE,central#uk
 gbp,central#uk
stering,central#uk
gbp/usd,central#uk
Fed,central#us
FED Funds,central#us
Federal Reserve,central#us
FOMC,central#us
US Fed,central#us
US FED Policy,central#us
US Federal,central#us
 USD ,central#us
 dxy,central#us
 twd,central#tw
 ntd,central#tw
usd/twd,central#tw
