,0
0,0
1,-1
2,-1
3,1
4,0
5,-1
6,-1
7,0
8,-1
9,0
10,1
11,1
12,-1
13,0
14,0
15,1
16,-1
17,0
18,1
19,-1
20,0
21,0
22,0
23,0
24,1
25,-1
26,1
27,1
28,-1
29,0
30,1
31,0
32,-1
33,0
34,0
35,1
36,-1
37,1
38,1
39,1
40,-1
41,1
42,1
43,1
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,-1
52,0
53,-1
54,-1
55,0
56,-1
57,-1
58,0
59,1
60,0
61,-1
62,0
63,-1
64,0
65,1
66,-1
67,1
68,0
69,0
70,-1
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,-1
79,0
80,-1
81,0
82,1
83,1
84,0
85,-1
86,-1
87,1
88,0
89,1
90,-1
91,-1
92,0
93,0
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,1
104,-1
105,0
106,1
107,1
108,-1
109,-1
110,-1
111,1
112,-1
113,0
114,0
115,1
116,-1
117,0
118,1
119,1
120,1
121,-1
122,1
123,-1
124,-1
125,1
126,0
127,-1
128,-1
129,-1
130,1
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,-1
139,0
140,0
141,0
142,-1
143,1
144,1
145,1
146,-1
147,0
148,0
149,1
150,0
151,-1
152,1
153,1
154,-1
155,1
156,0
157,0
158,0
159,-1
160,-1
161,-1
162,-1
163,1
164,-1
165,1
166,1
167,0
168,-1
169,0
170,0
171,-1
172,1
173,1
174,0
175,0
176,-1
177,1
178,1
179,1
180,-1
181,1
182,-1
183,0
184,-1
185,1
186,-1
187,0
188,0
189,0
190,0
191,1
192,0
193,-1
194,0
195,1
196,-1
197,-1
198,-1
199,1
200,0
201,1
202,0
203,1
204,1
205,-1
206,-1
207,1
208,1
209,-1
210,0
211,1
212,1
213,0
214,1
215,0
216,0
217,-1
218,0
219,0
220,1
221,0
222,-1
223,0
224,0
225,-1
226,0
227,0
228,1
229,-1
230,1
231,-1
232,0
233,0
234,-1
235,-1
236,-1
237,-1
238,-1
239,1
240,0
241,1
242,-1
243,0
244,0
245,0
246,-1
247,0
248,0
249,0
250,-1
251,-1
252,-1
253,-1
254,-1
255,-1
256,-1
257,1
258,1
259,0
260,-1
261,1
262,-1
263,1
264,1
265,0
266,0
267,1
268,-1
269,1
270,0
271,-1
272,-1
273,-1
274,1
275,-1
276,-1
277,-1
278,-1
279,1
280,1
281,1
282,-1
283,-1
284,1
285,-1
286,-1
287,1
288,1
289,-1
290,1
291,0
292,-1
293,1
294,-1
295,-1
296,1
297,0
298,1
299,0
300,-1
301,1
302,-1
303,0
304,1
305,0
306,1
307,0
308,1
309,1
310,0
311,-1
312,0
313,-1
314,-1
315,-1
316,-1
317,-1
318,1
319,-1
320,1
321,1
322,0
323,-1
324,0
325,1
326,1
327,0
328,1
329,-1
330,0
331,0
332,-1
333,-1
334,-1
335,0
336,1
337,0
338,-1
339,1
340,1
341,-1
342,1
343,1
344,-1
345,0
346,1
347,0
348,1
349,-1
350,1
351,0
352,-1
353,0
354,1
355,-1
356,-1
357,-1
358,1
359,0
360,-1
361,0
362,1
363,-1
364,0
365,0
366,-1
367,0
368,0
369,1
370,0
371,1
372,-1
373,-1
374,1
375,0
376,0
377,-1
378,-1
379,-1
380,-1
381,0
382,1
383,1
384,-1
385,1
386,1
387,1
388,0
389,1
390,-1
391,1
392,0
393,-1
394,1
395,-1
396,-1
397,0
398,-1
399,1
400,-1
401,1
402,1
403,-1
404,-1
405,0
406,-1
407,0
408,-1
409,0
410,0
411,0
412,0
413,0
414,1
415,0
416,1
417,1
418,1
419,1
420,0
421,1
422,-1
423,-1
424,1
425,1
426,-1
427,0
428,0
429,0
430,0
431,-1
432,0
433,-1
434,0
435,1
436,-1
437,0
438,1
439,1
440,-1
441,1
442,1
443,1
444,1
445,-1
446,0
447,1
448,-1
449,1
450,0
451,0
452,-1
453,1
454,0
455,1
456,0
457,0
458,1
459,1
460,-1
461,-1
462,-1
463,0
464,0
465,1
466,1
467,0
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,0
476,1
477,1
478,-1
479,1
480,1
481,0
482,-1
483,1
484,0
485,-1
486,1
487,1
488,0
489,0
490,0
491,1
492,-1
493,-1
494,1
495,0
496,-1
497,-1
498,1
499,0
500,-1
501,1
