,time,commodity@bad,commodity@good,econ@bad,econ@good,employ@bad,employ@down,employ@good,employ@up,equity@bad,equity@good,inflation@down,inflation@up,rate@down,rate@up,treasury@bad,treasury@good,yeild@down,yeild@up
0,2015-01-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1,0.0,0.0
1,2015-02-01,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0
2,2015-02-02,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0
3,2015-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
4,2015-02-04,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0
5,2015-02-06,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0
6,2015-02-08,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0
7,2015-02-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0
8,2015-02-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
9,2015-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1,0.0,0.0
10,2015-02-16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0
11,2015-02-18,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,5,0.0,0.0
12,2015-02-19,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4,2.0,2.0
13,2015-02-20,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.0,0.0
14,2015-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
15,2015-02-23,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
16,2015-02-24,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2,1.0,0.0
17,2015-02-25,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,2,1.0,0.0
18,2015-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,0.0,0.0
19,2015-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0
20,2015-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0
21,2015-03-06,1.0,0.0,0.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,3,0.0,1.0
22,2015-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
23,2015-03-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,2.0,1.0
24,2015-03-11,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1.0,0.0
25,2015-03-12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,0.0,0.0
26,2015-03-13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1,0.0,1.0
27,2015-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,0.0,0.0
28,2015-03-16,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,0.0,2.0
29,2015-03-17,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,4,0.0,2.0
30,2015-03-18,2.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,5.0,13.0,0.0,11,0.0,0.0
31,2015-03-19,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,8.0,1.0,8,1.0,0.0
32,2015-03-20,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,3,0.0,0.0
33,2015-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
34,2015-03-22,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2,0.0,0.0
35,2015-03-23,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,0.0,5,0.0,0.0
36,2015-03-24,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2,3.0,2.0
37,2015-03-25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,5,1.0,1.0
38,2015-03-26,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4,1.0,1.0
39,2015-03-27,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3,0.0,1.0
40,2015-03-28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
41,2015-03-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0
42,2015-03-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0.0,0.0
43,2015-03-31,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0
44,2015-04-01,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,0.0,0.0
45,2015-04-03,0.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,2,0.0,0.0
46,2015-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
47,2015-04-07,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2,0.0,2.0
48,2015-04-08,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,5,1.0,0.0
49,2015-04-09,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1.0,0.0
50,2015-04-10,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,4,2.0,0.0
51,2015-04-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2,0.0,0.0
